Id,name,tag_category_id
1,豚肉,1
2,牛肉,1
3,鶏肉,1
4,ラム肉,1
5,鴨肉,1
6,その他（肉）,1
7,あさり,2
8,あじ,2
9,アンチョビ,2
10,いか,2
11,いくら,2
12,いわし,2
13,うなぎ,2
14,うに,2
15,えび,2
16,牡蠣,2
17,かつお,2
18,かに,2
19,かれい,2
20,金目鯛,2
21,サーモン,2
22,桜えび,2
23,鮭,2
24,さんま,2
25,シーフードミックス,2
26,ししゃも,2
27,スモークサーモン,2
28,たい,2
29,たこ,2
30,たら,2
31,たらこ,2
32,ちりめんじゃこ,2
33,ぶり,2
34,ほたて,2
35,ホタルイカ,2
36,まぐろ,2
37,めかじき,2
38,明太子,2
39,青魚,2
40,白身魚,2
41,その他（魚介類）,2
42,アスパラガス,3
43,アボカド,3
44,いんげん,3
45,枝豆,3
46,オクラ,3
47,かいわれ大根,3
48,カリフラワー,3
49,キャベツ,3
50,きゅうり,3
51,栗,3
52,グリーンピース,3
53,小松菜,3
54,ゴーヤ,3
55,さやいんげん,3
56,さやえんどう,3
57,ししとう,3
58,しそ,3
59,春菊,3
60,ズッキーニ,3
61,セロリ,3
62,そら豆,3
63,たけのこ,3
64,チンゲン菜,3
65,冬瓜,3
66,豆苗,3
67,とうもろこし,3
68,トマト,3
69,なす,3
70,菜の花,3
71,にら,3
72,ネギ,3
73,白菜,3
74,パクチー,3
75,パプリカ,3
76,ピーマン,3
77,ひよこまめ,3
78,ブロッコリー,3
79,ほうれん草,3
80,水菜,3
81,みつば,3
82,ミント,3
83,もやし,3
84,モロヘイヤ,3
85,ルッコラ,3
86,レタス,3
87,かぶ,4
88,かぼちゃ,4
89,ごぼう,4
90,さつまいも,4
91,里芋,4
92,じゃがいも,4
93,大根,4
94,玉ねぎ,4
95,長いも,4
96,にんじん,4
97,れんこん,4
98,山芋,4
99,いちご,5
100,いちじく,5
101,梅,5
102,柿,5
103,キウイ,5
104,ココナッツ,5
105,さくらんぼ,5
106,すだち,5
107,パイナップル,5
108,バナナ,5
109,ぶどう,5
110,ブルーベリー,5
111,マンゴー,5
112,みかん,5
113,桃,5
114,ゆず,5
115,ライム,5
116,りんご,5
117,レモン,5
118,えのき,6
119,エリンギ,6
120,しいたけ,6
121,しめじ,6
122,なめこ,6
123,ひらたけ,6
124,ブナシメジ,6
125,まいたけ,6
126,マッシュルーム,6
127,ハム,7
128,生ハム,7
129,ソーセージ,7
130,魚肉ソーセージ,7
131,ベーコン,7
132,ウインナー,7
133,ロースハム,7
134,米,8
135,パン,8
136,うどん,8
137,そば,8
138,ラーメン,8
139,中華麺,8
140,パスタ,8
141,マカロニ,8
142,もち,8
143,オートミール,8
144,グラノーラ,8
145,シリアル,8
146,卵,9
147,牛乳,9
148,豆乳,9
149,ヨーグルト,9
150,バター,9
151,生クリーム,9
152,チーズ,9
153,クリームチーズ,9
154,うずらの卵,9
